question,style,label
"In the gameplay of Dungeons & Dragons, how is the success or failure of an action determined?",original,1
"Hey, got any cool hacks for faking a 1d3 or 1d2 roll when all you've got is a d6 or some other dice lying around?",informal,0
"In the role-playing game Dungeons & Dragons, how is a character's Armor Class calculated in the absence of armor or a shield, and what are the implications of wearing armor or carrying a shield without the required proficiency?",original,1
What aspects are considered when creating a character in a tabletop role-playing game like Dungeons & Dragons?,original,1
"Hey, can someone break down how a chill D&D session usually goes, like what the DM and the players are up to?",informal,0
"Hey, when you're whipping up a character for a game like D&D, what kinda stuff do you gotta think about?",informal,0
"Hey, when you're rolling up a character in D&D, what are the six main stats you gotta pick, and how do they actually mess with what happens in-game?",informal,0
"What is the range of ability scores a player can have before applying racial increases when customizing their character's abilities in Dungeons & Dragons, using the variant rule, and how can this enhance flexibility in score distribution?",original,1
"What are the implications on a character's personality and backstory in a tabletop role-playing game if he has high Strength and Constitution, low Intelligence, and comes from a noble line?",original,1
"In a tabletop role-playing game, how is success or failure determined when an action is taken?",original,1
"Hey, so when you're playing a tabletop RPG and someone does something that totally ramps up the stakes, what's the game master's move to deal with that curveball?",informal,0
"Hey, so in D&D, when you're rolling those percentile dice, or a d100, how do you actually figure out what you rolled, especially when one of the dice has all the tens on it?",informal,0
"Hey, so when you're rolling up your D&D character with the variant rules, what's the score spread you can get before slapping on those racial bonuses, and how does that shake things up for tweaking your stats?",informal,0
"Hey, how do you go about rolling a d20 when you're playing one of those tabletop RPGs?",informal,0
"Hey, what kind of traits would someone with a super high Wisdom stat in a RPG have, like both in their head and how they handle themselves?",informal,0
"What is the process of character creation in tabletop roleplaying games like Dungeons & Dragons, and how can one track their character's development?",original,1
"Hey, so in D&D and other RPGs, what stuff decides how good a character is at different skills, using tools, and nailing those saving throws? Also, are there like, rules or something about when you can tack on that proficiency bonus?",informal,0
"Hey, so like, what kicks off a character's questing gig in D&D, and why do those XP points even matter?",informal,0
"Hey, what kind of cool stuff can your RPG characters do when they're hanging out and messing around in the game?",informal,0
What are some of the benefits a character gets from their chosen class in a game of Dungeons & Dragons?,original,1
"Hey, can you break down the cool stuff you do and how you vibe with your crew in a game like D&D?",informal,0
"In a tabletop role-playing game like Dungeons & Dragons, how is exploration carried out?",original,1
"Hey, so when you're setting up your D&D character, how do you roll for your stats and figure out those ability mod numbers?",informal,0
"Hey, when you're cookin' up a character for an RPG, what kinda stuff do you throw into the mix?",informal,0
"Hey, when you're whipping up a character for a D&D game, what kind of stuff do you gotta think about?",informal,0
"Hey, so when you're playing a tabletop RPG, what's the deal with rolling dice with 'advantage' or 'disadvantage'? How does that mess with the outcome?",informal,0
What are the steps involved in making a d20 roll in a tabletop role-playing game?,original,1
What are some of the key features of gameplay and character interaction in a role-playing game like Dungeons & Dragons?,original,1
"In a game of Dungeons & Dragons, what aspects does a 1st-level character's proficiency bonus of +2 apply to, and how are hit points recorded and regained?",original,1
What are the six abilities that are considered when creating a character class in a game like Dungeons & Dragons and how does each ability affect the game play?,original,1
"In the context of tabletop role-playing games like Dungeons & Dragons, what kind of personality traits and ideals might a dwarf character with a folk hero background possess?",original,1
"Hey, so like, how does being a lightfoot halfling or a high elf give them an edge or not so much for different roles in D&D?",informal,0
"How do you determine which modifier to use when attacking with a melee weapon in a tabletop role-playing game, and how does the weapon's property, like finesse, affect this?",original,1
"Hey, so when you're just starting out with your level 1 character in D&D, what kind of stuff does that cool +2 proficiency bonus help with? Also, how do you keep track of hit points and get them back after your character's had a rough time?",informal,0
"In a tabletop role-playing game like Dungeons & Dragons, who might be responsible for creating an adventure and what elements does that adventure typically feature?",original,1
"Hey, how do you whip up a character for D&D and stuff, and keep tabs on their leveling up and all that jazz?",informal,0
"In a tabletop role-playing game, what is the process that the game master follows when a player's action results in a challenging situation?",original,1
What types of interactions could player characters have in a tabletop role-playing game?,original,1
"Hey, so in D&D, what stuff decides what gear your character kicks off with, and how does their strength stat cramp their style?",informal,0
What considerations should a player take into account when creating a character for Dungeons & Dragons?,original,1
"Hey, so how do you figure out the starting HP for a dude like Bruenor in D&D?",informal,0
"Hey, so in D&D, when you're trying to do something, how do you figure out if it totally rocks or bombs?",informal,0
"What methods can a Dungeon Master use to help set the scene in a tabletop role-playing game, and how do players also contribute to character portrayal?",original,1
"In the game Dungeons & Dragons, how is the result of a roll of percentile dice, or d100, generated and read, particularly when the ten-sided dice are numbered in tens?",original,1
What physical and mental characteristics might be associated with a high Wisdom score in a tabletop role-playing game character?,original,1
What are the elements involved in creating a character in a tabletop role-playing game like Dungeons & Dragons?,original,1
"Hey, what are some cool tricks DMs can pull to make the game world come alive, and how do the players get into their character's skin?",informal,0
How are a character's initial hit points calculated in the Dungeons & Dragons role-playing game based on a character called Bruenor?,original,1
"How are ability scores generated and assigned in a game of Dungeons & Dragons, and how are the ability modifiers determined?",original,1
How does the nature of gameplay in a tabletop role-playing game like Dungeons & Dragons typically vary with the circumstances?,original,1
"Hey, so in a game like D&D, how does the game change up when stuff around the table goes down differently?",informal,0
"Hey, so if you're playing a tabletop RPG and your character's like super strong and tough but not the sharpest tool in the shed, and they're from some fancy noble family, what does that say about who they are and where they're coming from?",informal,0
"Hey, so when you're playing D&D, how much magic stuff pops up, and what do the regular peeps think about all that wizardry?",informal,0
"Hey, so in a D&D game, what's the part that's got the most rules and stuff? And like, what can peeps do when they're at that point?",informal,0
"Hey, so when you're swinging a sword or something in an RPG, how do you figure out which bonus to slap on there? And if the weapon's got that slick finesse thing going on, what's the deal with that?",informal,0
How do the racial traits of lightfoot halflings and high elves influence their suitability for certain classes in Dungeons & Dragons?,original,1
"In a role-playing game like Dungeons & Dragons, why is magic considered crucial for adventurers and what are the various ways it can be used?",original,1
